Cars,ELO,Peak_ELO,Lowest_ELO,Championships,Wins,Losses,Rank,Peak_Rank,Seasons,Grand_Slam_Wins,Rookie,id
1967_Ford_GT_MkIV,944,1000,941,0,2,7,1,1,1,0,No,1
Bugatti_Chiron,1003,989,989,0,2,2,2,2,1,0,No,2
Gruppo_X24,964,987,964,0,1,4,3,3,1,0,No,3
Pagani_Huayra,961,1000,961,0,0,3,4,3,1,0,No,4
Works_Nissan_GTR,951,931,951,0,3,7,5,5,1,0,No,5
Alfa_Romero_8c,990,1000,978,0,1,2,6,6,1,0,No,6
Ram_1500_Rebel,1054,1000,1000,0,7,2,7,2,1,0,No,7
Pickup_1975,1000,988,1000,0,1,1,8,4,1,0,No,8
Chevy_Chevelle_SS,988,1000,988,0,0,1,9,9,1,0,No,9
Bon_Voyage,999,1012,999,0,1,1,10,8,1,0,No,10
Off_Duty,1019,1032,987,0,6,4,11,11,1,0,No,11
GMC_Hummer_EV,901,1000,901,0,0,10,12,12,1,0,No,12
Corvette_CR-6,1000,1023,1000,0,2,2,13,3,1,0,No,13
Draggin_Tail,1045,1045,987,0,8,4,14,6,1,0,No,14
Toyota_AE86,975,1000,975,0,0,2,15,13,1,0,No,15
Herbie,931,1000,931,0,0,6,16,14,1,0,No,16
Porsche_934_Turbo_RSR,988,1000,988,0,0,1,17,17,1,0,No,17
Volkwagen_Beetle,978,1000,978,0,0,2,18,18,1,0,No,18
72_Ford_Gran_Torino_Sport,988,1000,988,0,0,1,19,19,1,0,No,19
Lamborghini_Veneno,1108,1122,1000,0,21,5,20,1,1,0,No,20
Ford_GT40,1090,1106,1000,0,13,3,21,2,1,0,No,21
F1_Racer,1088,1003,1000,0,14,4,22,3,1,0,No,22
73_Ford_Falcon_XB,999,988,999,0,1,1,23,5,1,0,No,23
Lotus_Espirit,987,1000,987,0,0,1,24,24,1,0,No,24
Ford_Ranger_Raptor,997,999,975,0,5,5,25,10,1,0,No,25
65_Ford_Ranchero,921,1012,909,0,2,9,26,26,1,0,No,26
Croc_Rod,987,988,987,0,1,2,27,10,1,0,No,27
71_Maverick_Grabber,1000,988,1000,0,1,1,28,9,1,0,No,28
Drift_Taxi,976,1000,976,0,1,3,29,29,1,0,No,29
Acura_NSX,976,1000,976,0,0,2,30,25,1,0,No,30
Deora,1010,1044,999,0,8,7,31,2,1,0,No,31
Super_Volt,989,1012,978,0,3,4,32,9,1,0,No,32
CUL8R,992,1002,968,0,3,4,33,24,1,0,No,33
Custom_Volkswagen_Beetle,1000,1012,1000,0,1,1,34,15,1,0,No,34
Hudson_Hornet,988,1000,988,0,0,1,35,35,1,0,No,35
Rev_Rod,988,1000,988,0,0,1,36,36,1,0,No,36
Indy_500,936,1000,922,0,1,7,37,37,1,0,No,37
Lamborghini_Aventador,1021,998,1000,0,9,7,38,11,1,0,No,38
Land_Rover,974,988,966,0,3,5,39,13,1,0,No,39
HEMI_CUDA,988,1000,988,0,0,1,40,40,1,0,No,40
Aventador_J,974,1012,974,0,3,5,41,6,1,0,No,41
Stock_Car_3,988,1000,988,0,0,1,42,18,1,0,No,42
Ford_Focus_RS,998,1010,998,0,4,6,43,20,1,0,No,43
Porsche_356,1000,987,988,0,1,1,44,19,1,0,No,44
Porsche_911_GT2,988,1000,988,0,0,1,45,28,1,0,No,45
Corvette_C7,988,1000,988,0,0,1,46,23,1,0,No,46
Aston_Martin_Vantage,1130,1092,1000,0,18,3,47,1,1,1,No,47
COPO_Camaro,988,1000,988,0,0,1,48,22,1,0,No,48
Jaguar_F_Type,1039,1085,1000,0,6,3,49,6,1,0,No,49
Ford_Mustang_SN95,999,977,999,0,1,1,50,18,1,0,No,50
SpeedHunter_Viper,988,1000,976,0,1,2,51,51,1,0,No,51
Drag_Mustang,1001,1000,1000,0,2,2,52,8,1,0,No,52
60s_F1_Car,1000,1024,1000,0,2,2,53,6,1,0,No,53
Mazda_RX3,999,941,978,0,3,3,54,21,1,0,No,54
69_Dodge_Charger,988,1000,988,0,0,1,55,21,1,0,No,55
Shelby_GT500,978,1000,967,0,2,4,56,22,1,0,No,56
Ferrari_F12,964,988,964,0,2,5,57,12,1,0,No,57
Mustang_GT3,1012,1023,1000,0,3,2,58,9,1,0,No,58
Ferrari_LaFerrari,988,1000,988,0,0,1,59,23,1,0,No,59
C1_Corvette,988,1000,988,0,0,1,60,22,1,0,No,60
Corvette_Grand_Sport,988,1000,988,0,0,1,61,31,1,0,No,61
03_Mustang,941,1000,941,0,1,6,62,31,1,0,No,62
Bannana_Mustang,987,1000,987,0,1,2,63,53,1,0,No,63
66_Chevy_Nova,975,988,963,0,3,5,64,9,1,0,No,64
Super_Blitzen,969,1000,969,0,3,6,65,63,1,0,No,65
Formula_8R,1012,988,1000,0,1,0,66,27,1,0,No,66
Ford_Sierra_Cosworth,1041,1075,1000,0,9,4,67,5,1,0,No,67
Firebird_T_Top,993,1002,967,0,3,4,68,25,1,0,No,68
Camaro_Drag,1017,1043,1000,0,8,6,69,3,1,0,No,69
Plymouth_Barracuda,988,1000,988,0,0,1,70,57,1,0,No,70
Firebird_Green,1000,1012,1000,0,1,1,71,19,1,0,No,71
RX7,988,1000,988,0,0,1,72,47,1,0,No,72
15_Mustang,999,975,999,0,1,1,73,27,1,0,No,73
Ferrari_599_GTB,934,1000,921,0,1,7,74,44,1,0,No,74
Convertible_Mustang,988,1000,988,0,0,1,75,43,1,0,No,75
47_Chevy_Pickup,988,1000,988,0,0,1,76,41,1,0,No,76
Corvette_C7_Z06,988,1000,988,0,0,1,77,30,1,0,No,77
McLaren_P1,998,1011,998,0,4,4,78,5,1,0,No,78
Nash_Daddy,1000,1023,1000,0,2,2,79,13,1,0,No,79
Mustang_SVO,1009,1022,988,0,7,5,80,2,1,0,No,80
F1_Racer_(Red),1001,1024,1000,0,2,2,81,5,1,0,No,81
HEMI_Challenger,990,1012,966,0,3,4,82,17,1,0,No,82
Ford_Monte_Carlo,951,1000,951,0,1,5,83,33,1,0,No,83
Subaru_WRX_STI,1037,1036,1000,0,5,2,84,9,1,0,No,84
Custom_OTTO,1000,1012,1000,0,1,1,85,7,1,0,No,85
Tesla_Model_S,988,1000,988,0,1,1,86,38,1,0,No,86
TeeGray,952,1023,952,0,2,6,87,8,1,0,No,87
Honda_Civic_EF,987,1000,987,0,0,1,88,40,1,0,No,88
Volkwagen_Golf_GTI,1000,988,1000,0,1,1,89,7,1,0,No,89
Solar_Reflex,1060,1021,1000,0,10,4,90,7,1,0,No,90
69_COPO_Corvette,1102,1103,1000,0,10,1,91,3,1,1,No,91
Acura_Integra_GSR,976,1000,976,0,0,2,92,44,1,0,No,92
Anthracite,1024,1058,1000,0,8,5,93,3,1,0,No,93
Camaro_Z06,1012,988,1000,0,1,0,94,27,1,0,No,94
Wheelchair,1007,1060,977,0,4,3,95,18,1,0,No,95
RoboRacer,977,1000,966,0,2,4,96,67,1,0,No,96
McLaren_P1_Blue,989,1000,989,0,0,1,1000,30,0,0,Yes,97
Cadillac_GTP,1017,1031,1000,0,3,1,1000,15,0,0,Yes,98
Cadillac_GTP_Blue,954,1000,954,0,1,5,1000,30,0,0,Yes,99
Aston_Martin_Vantage_GT3_White,976,1000,976,0,0,2,1000,27,0,0,Yes,100
Formula_E_Gen3,1051,1064,1000,0,6,1,1000,3,0,0,Yes,101
Lamborghini_Huracan_Sterrato,1035,1079,1000,0,6,3,1000,11,0,0,Yes,102
Koenigsegg_Gemera,1079,1108,1000,0,10,2,1000,3,0,0,Yes,103
Porsche_911_Rally,979,1000,979,0,0,2,1000,30,0,0,Yes,104
Jaguar_F_Type_Hard_Top,1061,1097,1000,0,8,2,1000,5,0,0,Yes,105
Lamborghini_Countach,1016,1025,1000,0,2,1,1000,18,0,0,Yes,106
Mustang_Mach_1_Yellow,1012,1012,1000,0,1,0,1000,28,0,0,Yes,107
Porsche_917_LMH,981,1000,966,0,4,6,1000,52,0,0,Yes,108
Acura_NSX_White,1077,1088,1000,0,6,0,1000,7,0,0,Yes,109
Corvette_C8R,1014,1024,1000,0,2,1,1000,20,0,0,Yes,110
Aston_Martin_Vantage_GTE,1014,1024,1000,0,2,1,1000,18,0,0,Yes,111
McLaren_Senna,989,1001,989,0,1,2,1000,29,0,0,Yes,112
Bently_GT3,988,988,976,0,2,3,1000,21,0,0,Yes,112
Koenigsegg_Jesko,977,1000,977,0,1,3,1000,26,0,0,Yes,112
McLaren_F1,975,1000,975,0,0,2,1000,27,0,0,Yes,112
Ford_GT40_MKIV_White,988,1000,988,0,0,1,1000,27,0,0,Yes,112
Ford_GT40_MKIV_Green,1020,988,1000,0,2,0,1000,19,0,0,Yes,112
